loan_amnt,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,title,dti,earliest_cr_line,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,application_type,mort_acc,pub_rec_bankruptcies,address
14000.0, 60 months,14.49,329.33,C,C4,mental health tech,10+ years,MORTGAGE,80000.0,Source Verified,Oct-2014,Charged Off,debt_consolidation,Debt consolidation,17.04,Jan-1989,10.0,0.0,12223.0,63.7,16.0,w,INDIVIDUAL,2.0,0.0,"557 Melvin Prairie Suite 186
Cherylborough, NV 22690"
6050.0, 36 months,16.29,213.57,D,D2,teller,2 years,OWN,20400.0,Verified,Oct-2014,Fully Paid,debt_consolidation,Debt consolidation,28.08,Mar-2004,11.0,0.0,2577.0,13.3,24.0,f,INDIVIDUAL,0.0,0.0,"93333 Christopher Trafficway
South Joshuaville, OK 00813"
20775.0, 36 months,18.24,753.57,D,D5,Business Analyst,2 years,RENT,65000.0,Source Verified,Oct-2014,Fully Paid,other,Other,15.3,Jun-2008,9.0,0.0,21872.0,36.5,10.0,f,INDIVIDUAL,0.0,0.0,"1021 Katherine Ville
Christopherton, NJ 70466"
6000.0, 36 months,13.99,205.04,C,C4,Outreach and Enrollment,1 year,RENT,38848.0,Verified,Apr-2015,Charged Off,credit_card,Credit card refinancing,16.59,Dec-1984,17.0,4.0,6873.0,38.2,29.0,f,INDIVIDUAL,5.0,3.0,"793 Grant Key
Lake Janice, MD 93700"
17450.0, 36 months,13.11,588.89,B,B4,Pinellas county schools,8 years,MORTGAGE,65000.0,Not Verified,Mar-2013,Fully Paid,credit_card,Three years to freedom,12.06,Apr-1992,11.0,0.0,30557.0,47.8,31.0,f,INDIVIDUAL,1.0,0.0,"36882 Nicole Common
Lake Brian, NY 00813"
16800.0, 36 months,7.62,523.52,A,A3,Lead Analyst,8 years,MORTGAGE,99000.0,Verified,Oct-2013,Fully Paid,debt_consolidation,Loan/credit card consolidation,16.52,Jan-1991,12.0,0.0,12367.0,40.5,21.0,f,INDIVIDUAL,1.0,0.0,"16659 Timothy Cliffs Suite 265
North Jon, OR 48052"
12000.0, 36 months,12.99,404.27,C,C2,Plumber,7 years,MORTGAGE,80000.0,Source Verified,Jun-2016,Fully Paid,debt_consolidation,,23.19,Nov-1997,15.0,1.0,13655.0,68.3,31.0,f,INDIVIDUAL,4.0,1.0,"007 Barrett Place
Port Jennifermouth, PA 05113"
25000.0, 36 months,6.99,771.82,A,A3,Chief Customer Officer,1 year,RENT,175000.0,Verified,Jan-2015,Fully Paid,debt_consolidation,Debt consolidation,13.43,Mar-2000,15.0,0.0,29959.0,67.9,19.0,w,INDIVIDUAL,0.0,0.0,"28844 Fisher Tunnel Suite 391
North Melissa, WV 48052"
10000.0, 36 months,14.33,343.39,C,C1,Total Skin and Beauty Dermatology,10+ years,MORTGAGE,140000.0,Verified,May-2013,Fully Paid,debt_consolidation,debt consolidation phase 2,19.22,May-2001,19.0,0.0,8810.0,28.9,43.0,w,INDIVIDUAL,6.0,0.0,"25959 Jackson Cape Suite 913
Simonstad, WY 00813"
1525.0, 36 months,9.99,49.21,B,B3,Bus Driver,2 years,RENT,15000.0,Not Verified,May-2015,Fully Paid,debt_consolidation,Debt consolidation,35.04,Jan-1993,13.0,0.0,11506.0,41.5,29.0,w,INDIVIDUAL,1.0,0.0,"264 Raymond Trail Suite 583
South Johnmouth, NY 00813"
6000.0, 36 months,12.12,199.63,B,B3,,,MORTGAGE,50000.0,Verified,Jul-2012,Fully Paid,credit_card,credit card,30.82,May-1990,8.0,0.0,13250.0,62.8,25.0,f,INDIVIDUAL,5.0,0.0,"555 Amanda Drive
Brockmouth, HI 29597"
25000.0, 36 months,7.12,773.3,A,A3,Tech and Apps Mgmt 2,8 years,MORTGAGE,65000.0,Source Verified,Oct-2014,Fully Paid,debt_consolidation,Debt consolidation,26.5,Feb-2003,18.0,0.0,13513.0,27.6,30.0,w,INDIVIDUAL,3.0,0.0,"69863 Wood Mountain Apt. 615
Port Danielle, OR 70466"
9250.0, 36 months,9.91,298.09,B,B1,Coca-Cola,10+ years,MORTGAGE,90000.0,Source Verified,Feb-2012,Fully Paid,debt_consolidation,BetterFuture,12.87,Nov-2001,11.0,0.0,27539.0,62.7,20.0,f,INDIVIDUAL,,0.0,"9117 Veronica Islands
Lunatown, AL 29597"
2000.0, 36 months,13.35,67.73,C,C2,field service engineer,5 years,RENT,75000.0,Not Verified,Oct-2014,Fully Paid,moving,Moving and relocation,11.47,Nov-1997,11.0,0.0,2621.0,7.9,21.0,f,INDIVIDUAL,0.0,0.0,"51575 Skinner Rapids Suite 345
Port Jamieton, MN 48052"
16000.0, 36 months,6.03,486.97,A,A1,Sr. Manager,2 years,MORTGAGE,150000.0,Source Verified,Feb-2014,Fully Paid,debt_consolidation,Debt consolidation,7.98,Mar-1997,16.0,0.0,8606.0,6.1,38.0,f,INDIVIDUAL,5.0,0.0,"082 George Roads
Brooksbury, MN 22690"
10575.0, 36 months,17.57,380.04,D,D4,Cook,2 years,MORTGAGE,39360.0,Not Verified,Apr-2015,Fully Paid,debt_consolidation,Debt consolidation,36.98,Nov-1994,15.0,0.0,43962.0,67.7,33.0,f,INDIVIDUAL,3.0,0.0,"2757 Todd Lights Suite 158
Krystalport, NY 29597"
24000.0, 60 months,21.0,649.29,E,E2,M&M Mfg. Co.,10+ years,MORTGAGE,79000.0,Verified,Dec-2012,Fully Paid,debt_consolidation,Consolidation Loan,23.04,Sep-2001,14.0,0.0,28450.0,80.1,29.0,f,INDIVIDUAL,2.0,0.0,"3937 Natasha Green Apt. 646
South Jerry, NE 00813"
8000.0, 36 months,12.12,266.18,B,B3,CH2M HILL Inc,4 years,RENT,77564.0,Source Verified,Mar-2012,Fully Paid,credit_card,Pay down debt sooner to be debt free,12.92,Feb-1995,4.0,0.0,7775.0,97.2,23.0,f,INDIVIDUAL,,0.0,"166 Brenda Burg
Andreside, AK 48052"
9550.0, 36 months,16.49,338.07,D,D3,teacher,3 years,MORTGAGE,32000.0,Not Verified,Nov-2014,Charged Off,debt_consolidation,Debt consolidation,29.22,May-1996,7.0,0.0,5193.0,57.1,39.0,f,INDIVIDUAL,1.0,0.0,"047 Teresa Tunnel
South Bryan, HI 70466"
23500.0, 60 months,12.69,530.98,C,C2,Teacher,10+ years,MORTGAGE,60000.0,Source Verified,Aug-2015,Fully Paid,credit_card,Credit card refinancing,25.58,Apr-1999,13.0,0.0,25106.0,69.2,23.0,w,INDIVIDUAL,3.0,0.0,"USNS Watts
FPO AA 30723"
6500.0, 36 months,12.39,217.11,C,C1,AGPA,9 years,MORTGAGE,70000.0,Source Verified,Jan-2015,Fully Paid,car,Car financing,30.72,Mar-2001,19.0,0.0,20708.0,61.8,40.0,f,INDIVIDUAL,1.0,0.0,"66461 Gutierrez Vista Apt. 823
New Scott, AZ 70466"
20000.0, 36 months,11.53,659.81,B,B5,Customer Service Analyst,< 1 year,RENT,57000.0,Source Verified,Sep-2015,Fully Paid,credit_card,Credit card refinancing,16.17,Jun-2005,16.0,0.0,20316.0,60.1,18.0,f,INDIVIDUAL,0.0,0.0,"USNS Mack
FPO AA 22690"
10000.0, 36 months,14.09,342.22,B,B5,the french pub,10+ years,MORTGAGE,34000.0,Not Verified,Dec-2012,Fully Paid,debt_consolidation,pay off credit card bills,15.95,Jul-1996,8.0,0.0,9463.0,50.6,19.0,w,INDIVIDUAL,2.0,0.0,"179 Jacob Gateway
Port Sandraview, NC 22690"
20000.0, 36 months,12.49,668.98,B,B5,RN,10+ years,OWN,96000.0,Source Verified,Jul-2014,Fully Paid,debt_consolidation,Debt consolidation,12.83,May-1995,25.0,1.0,11215.0,32.8,52.0,f,INDIVIDUAL,1.0,0.0,"844 Perkins Glen Suite 296
Jamesport, WY 48052"
15000.0, 60 months,16.55,369.17,D,D2,Territory Service Representative,10+ years,OWN,37000.0,Verified,Mar-2015,Fully Paid,debt_consolidation,Debt consolidation,34.61,Sep-2003,10.0,0.0,36297.0,97.1,17.0,f,INDIVIDUAL,4.0,0.0,"040 Stevens Loop Suite 426
New Christopherborough, VA 48052"
11000.0, 36 months,22.15,420.95,E,E5,unit secretary,1 year,RENT,40000.0,Verified,Sep-2014,Fully Paid,debt_consolidation,Debt consolidation,17.22,Jun-2005,13.0,0.0,5407.0,65.1,16.0,w,INDIVIDUAL,0.0,0.0,"21005 Sanchez Neck Suite 260
Veronicaborough, NJ 29597"
31825.0, 36 months,15.31,1108.07,C,C2,Kaiser Permanente,8 years,MORTGAGE,80000.0,Verified,Oct-2012,Fully Paid,debt_consolidation,Debt Consolidation Loan,25.94,Nov-1994,7.0,0.0,42071.0,66.7,20.0,f,INDIVIDUAL,2.0,0.0,"937 Blackburn Harbor Apt. 994
East Jefferytown, RI 30723"
2000.0, 36 months,21.0,75.36,E,E2,Civil Service.,10+ years,MORTGAGE,70000.0,Not Verified,Dec-2012,Fully Paid,other,Christmas Loan,23.62,May-1989,6.0,0.0,11425.0,92.1,18.0,w,INDIVIDUAL,3.0,0.0,"45429 Peterson Plain
East Chad, NY 05113"
4225.0, 36 months,12.12,140.58,B,B3,witham memorial hospital,9 years,MORTGAGE,60000.0,Verified,Mar-2013,Fully Paid,debt_consolidation,makingchanges,9.94,Apr-2001,10.0,1.0,4245.0,66.3,35.0,f,INDIVIDUAL,4.0,0.0,"43889 Bailey Station Suite 682
Ariasstad, DE 30723"
8800.0, 36 months,17.56,316.21,D,D1,Las Vegas Metro Police Department,10+ years,MORTGAGE,74000.0,Verified,Jul-2013,Fully Paid,credit_card,Consolidation,16.46,Nov-1987,14.0,0.0,27957.0,74.2,35.0,w,INDIVIDUAL,3.0,0.0,"723 Erickson Land
Port Scottville, IA 29597"
24000.0, 60 months,19.72,632.12,D,D5,UT MD ANDERSON CANCER CENTER,8 years,MORTGAGE,100000.0,Source Verified,Oct-2012,Fully Paid,credit_card,Credit card refinancing,26.57,Apr-1997,16.0,0.0,26835.0,57.1,35.0,f,INDIVIDUAL,2.0,0.0,"644 Davis Square Apt. 067
New Nataliestad, NM 05113"
9600.0, 36 months,9.67,308.28,B,B1,Associate Environmental Specialist,3 years,RENT,54800.0,Source Verified,Nov-2013,Fully Paid,credit_card,credit clean up,17.74,Sep-1995,8.0,0.0,14662.0,56.8,16.0,f,INDIVIDUAL,0.0,0.0,"11797 Evans Fords
Cartertown, NM 22690"
1400.0, 36 months,15.59,48.94,C,C5,Teachers Assistant ,10+ years,RENT,38700.0,Source Verified,Jun-2016,Charged Off,other,Other,1.77,Jan-2001,4.0,0.0,492.0,17.6,20.0,w,INDIVIDUAL,3.0,0.0,"046 Sandra Junction
Lewisstad, SC 86630"
